system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2006_analysis_2018_MF_4,14,-0.12680980725623264,-1.5049999999999955,-1.0699999999999932,-2.982500000000016,-0.04261904761905555,0.5237500000000068,1.5923333333333574,1.787857142857149,1.2465137501897108,2018.0,MF,2006.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_MF_0,1310,0.058901088309486274,-1.820935714285713,-0.5576037219485473,-2.804345238095228,0.013075186668645284,0.5657142857142853,2.072318452380955,2.942244047619056,1.934485318770158,2019.0,MF,2006.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_MF_1,29,-0.12596469622330975,-0.7983333333333178,-0.14095238095239893,-3.316000000000031,0.0,0.27350000000004115,1.029047619047617,1.2714285714286007,1.1501483253593303,2019.0,MF,2006.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_MF_2,1187,0.06743964041668425,-1.9176315192743718,-0.5550838095238043,-2.95325850340136,0.011559510625956528,0.6930295414462101,2.1829574829932006,3.1719000000000053,2.007260746412515,2019.0,MF,2006.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_MF_3,80,-0.02816883567821087,-0.9581031746031812,-0.5481250000000273,-1.4203333333333177,-0.010178571428568262,0.4232222222222409,1.1525178571428398,1.5582056277056324,0.9225888107916314,2019.0,MF,2006.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2019_MF_4,14,0.21543253968254664,-0.45305555555552246,-0.27055555555554633,-1.5476666666666574,0.13700000000000045,0.43625000000000114,0.8487500000000239,2.7030000000000314,0.8986523590122533,2019.0,MF,2006.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_MF_0,1308,0.008851200956706289,-0.9373855472013348,-0.3098533189033178,-1.442257539682538,0.018138677767939496,0.18037679516251276,1.0668683261183325,1.5710266233766181,1.0226245210799985,2020.0,MF,2006.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_MF_1,28,-0.05111578798185893,-0.8736111111110745,-0.3375000000000057,-0.8999999999999773,0.0,0.29333333333332234,0.5131428571428671,0.9726666666666688,0.9909049464769317,2020.0,MF,2006.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_MF_2,1186,-3.0089986835291744E-4,-1.0221851851851858,-0.3376993145743176,-1.5211874999999893,0.00514792433742638,0.21628050595238157,1.0271393298059952,1.5903494588744593,0.9776967409069183,2020.0,MF,2006.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2020_MF_3,80,-0.04159747023809039,-0.5063680555555479,-0.18525357142857218,-0.7670198412698047,0.013668083900228112,0.23843750000001052,0.9974861111111153,1.1676190476190698,1.3053485427704656,2020.0,MF,2006.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
