system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2008_analysis_2010_BF_1,111,-0.13471769729753824,-0.5188691678693891,-1.7867687074829748,-0.09452380952378237,0.3505803571425101,1.5520833333332869,0.976968831244814,2010.0,BF,2008.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2010_BF_2,193,-0.18596704357692878,-1.195745315255783,-3.2904507936504306,0.04388077819001026,1.0481367063493154,2.7004761904765955,2.0292366066748944,2010.0,BF,2008.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2010_BF_3,74,0.0801175746245475,-0.34985964912289247,-1.729999999999987,0.03073209228132886,0.5766795709736963,1.7452278244631254,1.066913203288567,2010.0,BF,2008.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2010_BF_4,21,-0.7648684341285207,-1.8833333333339297,-5.1202777777767885,-0.3786839826839663,0.6834722222219121,1.9669333333330847,1.9853919752688831,2010.0,BF,2008.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2011_BF_0,397,0.08856656643594384,-0.8108505406256703,-3.035913690476313,0.04695946024341158,0.8266376311704801,3.6952069597068764,1.907814193318143,2011.0,BF,2008.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2011_BF_1,111,3.9139020730449234E-4,-0.5417722102775852,-1.860190476190449,0.02127042328037847,0.6677226190479932,1.9930714285734483,1.261129921409436,2011.0,BF,2008.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2011_BF_2,194,-0.002774175553495836,-1.1520416666669675,-3.323750000000347,0.00438095238095384,1.0887416666666243,3.779944043610723,2.1647137350445624,2011.0,BF,2008.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2011_BF_3,73,0.6825026776065708,-0.16144190858159557,-0.9895555555555385,0.14382940592587656,0.9228939393938589,4.462083333333268,1.7865251052810716,2011.0,BF,2008.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2011_BF_4,21,-0.4635003320393829,-0.8414761904763601,-4.788181818181272,-0.4729999999998542,0.8703333333327645,1.8245098039218979,2.2654006623276537,2011.0,BF,2008.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2012_BF_0,395,-0.07781626264433832,-0.8376852233948229,-2.278735119047359,-0.0916793465506065,0.6567507440476134,2.1551414210130173,1.4086716412271776,2012.0,BF,2008.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
