system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2016_analysis_2024_TOT_1,917,0.00716335342834718,-0.7829999999999951,-0.27978876678876385,-1.2878630952381158,0.009997203071276528,0.2792851230559579,0.7938333333333308,1.2740714285714205,0.7842683226531113,2024.0,TOT,2016.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2016_analysis_2024_TOT_2,10732,-0.03627134511345316,-1.0609525358294987,-0.4343826717187649,-1.5565702380952375,0.02090375271278165,0.31011319727514836,0.9366893094710181,1.4388281786941577,0.9751225821209845,2024.0,TOT,2016.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2016_analysis_2024_TOT_3,988,0.015530517727887352,-0.4228928571428438,-0.20338966675685288,-0.6140202821869454,0.00728139221889361,0.20097472075249917,0.48372916666666654,0.6714603174603277,0.4444505130426777,2024.0,TOT,2016.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2016_analysis_2024_TOT_4,321,-0.010142041240172484,-0.7958333333333343,-0.3583910934744381,-1.1816666666666578,0.005241773132016123,0.2707071428571396,0.668142857142854,1.0570000000000164,0.7520569609237472,2024.0,TOT,2016.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2018_TOT_0,15387,-0.01960214341560599,-1.56756739653839,-0.5598357271756319,-2.3136218944099394,0.020708108163691733,0.559290118446366,1.5629821170892586,2.307982220666043,1.4632031697855694,2018.0,TOT,2017.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2018_TOT_1,821,0.032741650892077714,-0.7614980158730257,-0.33052306547618393,-1.2352916666666616,0.0040625111467800555,0.32879191468253666,0.8273888888888834,1.22683333333336,0.7595103228485509,2018.0,TOT,2017.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2018_TOT_2,13305,-0.018778445159166515,-1.6860598296630926,-0.6884395182974363,-2.5598408893237643,0.01783355452939167,0.6859851690373114,1.6884336343732878,2.4406988835082033,1.5509670322206255,2018.0,TOT,2017.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2018_TOT_3,940,-0.036898606889565234,-0.45462148962148446,-0.2001856272812173,-0.6962441558441583,-0.014952143887858581,0.13994463103946256,0.3620985810485801,0.5479986772486996,0.4404401927530929,2018.0,TOT,2017.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2018_TOT_4,308,-0.15101738043702465,-1.0244702380952475,-0.5276930916305993,-1.613333333333344,-0.09562556689342168,0.24030810485809762,0.7890582010582156,1.2782142857142986,0.8876694115580432,2018.0,TOT,2017.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2019_TOT_0,15369,-0.014868516129007704,-0.8426941179552916,-0.34426817620065836,-1.2819999711399692,0.009130119988645814,0.28097259107933104,0.842790977287554,1.280816453447051,0.8296791329007777,2019.0,TOT,2017.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2019_TOT_1,806,-0.009367053645279583,-0.6538883219954751,-0.2181677396677373,-0.9500185185185283,0.012144281299131579,0.2180234281591457,0.5958009259259308,0.97542857142858,0.6243203919893413,2019.0,TOT,2017.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2019_TOT_2,13309,-0.016635623242937485,-0.9051156454205201,-0.3446950436217683,-1.341316490431243,0.008242792592636022,0.2808365819953105,0.9051595362103184,1.3422898913951513,0.8653644515064126,2019.0,TOT,2017.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2019_TOT_3,933,0.007396347489594666,-0.45315197897341314,-0.1705699567099623,-0.6060155122655194,0.0053088962542074585,0.20272393851939452,0.48690165043289824,0.6429001443001482,0.4124426302037213,2019.0,TOT,2017.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2019_TOT_4,309,-0.01728844151174088,-0.5904783549783493,-0.2081681998556988,-0.9917857142856974,0.016883259821941117,0.22394435425686154,0.5402238095238147,0.8288571428571601,0.6349505153077114,2019.0,TOT,2017.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2020_TOT_0,15340,-0.007961221711433276,-1.1850055916305917,-0.4351434081519691,-1.815152705627705,0.021750474533541574,0.43534420695045656,1.1866162225428885,1.8126017010296693,1.1577618734600537,2020.0,TOT,2017.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2020_TOT_1,801,-0.012105504392958868,-1.0961666666666616,-0.4096394557823043,-1.3977083333333198,0.007173772609816122,0.34308416005291775,0.9759841269840971,1.4215238095238003,0.9186376268113614,2020.0,TOT,2017.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2020_TOT_2,13294,-0.00578927017602332,-1.308967387759764,-0.5606571361254359,-1.812332686335403,0.0198135754175515,0.4347728045763758,1.315468977451119,1.930936580815366,1.187063998897264,2020.0,TOT,2017.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2020_TOT_3,924,-0.027779787282220587,-0.6503662889398223,-0.2767888330307614,-0.9081420700511532,0.015475082457226244,0.21547133036716482,0.656410714285709,1.037041005291016,0.7300047940783776,2020.0,TOT,2017.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2020_TOT_4,308,0.035286876182980764,-1.2741507936507996,-0.5814285714285689,-1.9633690476190537,0.007908179012343593,0.41044155844156477,1.4236111111111143,2.282499999999999,1.3175134009411718,2020.0,TOT,2017.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2021_TOT_0,15290,-0.03826332700073719,-1.1884560254109038,-0.4363351858925395,-1.8181351911976886,0.021911919088663575,0.43330479588670895,1.0641958653591326,1.6908873836891056,1.0971997416317032,2021.0,TOT,2017.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2021_TOT_1,797,0.011729434060989441,-0.5291401289682529,-0.2130784757877783,-0.7776220238095277,0.011539889579021835,0.22773778998778482,0.6599433106575999,1.0550000000000068,0.6586561713410962,2021.0,TOT,2017.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2021_TOT_2,13255,-0.04544937185074883,-1.3135157433712128,-0.4362503964496157,-1.9396072916666722,0.0193995091310297,0.4335552909067272,1.1840992116804927,1.69200240929705,1.1547019379522017,2021.0,TOT,2017.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2017_analysis_2021_TOT_3,918,-0.002466920213651558,-0.45691919191919006,-0.171292381947554,-0.6102322430655849,0.006278474521122114,0.16958209845710842,0.4162919243454987,0.608460638127304,0.40767875338656845,2021.0,TOT,2017.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
