system:index,LST_Day_count,LST_Day_mean,LST_Day_p10,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p90,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2010_analysis_2021_BF_3,102,0.01706882197323337,-0.6345555555555222,-0.3055753968253896,-0.966666666666697,0.0,0.32892857142854837,0.7479999999999905,1.3516666666666879,0.674765713489668,2021.0,BF,2010.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2021_BF_4,64,0.03067127187049401,-0.5645634920634848,-0.26688492063487956,-1.0012500000000273,-0.03357142857140616,0.29013888888887607,0.6111111111110858,0.8926666666666847,0.688791608892175,2021.0,BF,2010.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_BF_0,562,0.0328740397107839,-0.9714880952380772,-0.34065740740739314,-1.7330654761904754,0.009710076960077906,0.28147786131996094,1.223269841269816,2.233222222222205,1.3621612909000067,2022.0,BF,2010.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_BF_1,130,-0.04362655677655683,-0.7847023809523865,-0.3314444444444291,-1.4553968253968037,-0.033886309523828116,0.23999999999995225,0.8600000000000136,1.3500000000000227,0.8361736225072657,2022.0,BF,2010.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_BF_2,267,0.11642794720884733,-1.44583333333334,-0.23166666666667388,-2.7724999999999795,0.008107328869048747,0.38750000000001705,2.2358333333333036,3.329999999999984,1.7769810625674396,2022.0,BF,2010.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_BF_3,101,-0.1562319660537503,-0.953547619047626,-0.48160714285713624,-1.329999999999984,-0.08284821428571831,0.1699999999999875,0.41904761904764126,0.6324404761904816,0.6639345036639667,2022.0,BF,2010.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_BF_4,64,0.16004941716269894,-0.6079999999999472,-0.1734444444444705,-0.9300000000000068,0.0,0.2990000000000066,1.2171428571428464,1.5850000000000364,0.9200786756102578,2022.0,BF,2010.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_BF_0,566,0.009266586868175043,-0.5769608585858634,-0.17299735449735668,-0.9530303030303132,0.00291964085297391,0.20611710357544016,0.543946127946119,0.9519545454545266,0.629071314202929,2023.0,BF,2010.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_BF_1,130,-0.07366311188811275,-0.9671363636363424,-0.24181818181818926,-1.3727777777777987,8.75420875418816E-4,0.27030113636362785,0.6383766233766153,0.877636363636384,0.7229439351414979,2023.0,BF,2010.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_BF_2,271,0.017327441521165346,-0.521902236652234,-0.14389393939393832,-0.7553333333333683,0.0031352231997382497,0.13944886363636755,0.4153611111110962,0.9885000000000161,0.5883357583309838,2023.0,BF,2010.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_BF_3,101,0.014800205020499602,-0.44666666666665833,-0.16868181818182393,-0.8077777777777726,0.0059371492704908884,0.17638636363635385,0.4881818181818005,0.6787499999999795,0.5848443653617202,2023.0,BF,2010.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_BF_4,64,0.13863336489899103,-0.43090909090904006,-0.22636363636364365,-0.6541818181818257,9.090909090900823E-4,0.34520202020203783,0.7290909090908997,1.3800000000000523,0.6325010222406936,2023.0,BF,2010.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_BF_0,471,-0.024882681072171255,-1.2270666666666785,-0.30746061379096645,-2.1900793650793844,0.023052000661373622,0.43041576479075566,1.2795619047619027,2.0591111111111124,1.5079726415503087,2012.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_BF_1,98,0.1106021622934878,-0.5825000000000102,-0.18982142857140616,-0.8225714285714218,0.005729875283443724,0.4765178571428663,0.9496666666666584,1.3791666666666629,0.7215907142326878,2012.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_BF_2,224,-0.19223697916666563,-2.1701190476190675,-0.4263392857142989,-3.0661666666666605,0.018731505102039137,0.2630416666666676,1.448055555555565,2.5559999999999974,1.9527525099777183,2012.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_BF_3,91,0.03011059575345411,-0.90625,-0.22921957671957216,-1.2793636363635983,0.0026666666666670833,0.3541666666666572,0.8614285714285757,1.4471428571428646,0.8046662806312082,2012.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2012_BF_4,52,0.3294244227994204,-0.7099999999999795,-0.2921527777777726,-1.4790000000000418,0.033055555555534966,0.8565808080807926,1.7475000000000023,2.5274285714285725,1.281320384194392,2012.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_BF_0,474,-0.021536362723072768,-1.1516845238095357,-0.39665906084655234,-1.8800000000000239,0.010555990432701352,0.2788544973545047,1.1438121693121797,1.975833333333327,1.1316366987481532,2013.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_BF_1,98,-0.024280612244899195,-1.629999999999967,-0.4488333333333543,-1.8850000000000193,0.011909863945573664,0.3599999999999852,1.6495238095237994,2.5206666666666706,1.2987515369471434,2013.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_BF_2,228,-0.03553049289891618,-1.0863492063492117,-0.3942080498866086,-1.9402380952381009,0.01005952380952315,0.22282539682539002,1.1467523809524038,1.9825000000000017,1.197742492707487,2013.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_BF_3,90,0.17486179653679668,-0.7055694444444498,-0.08801190476191323,-1.1008928571428385,0.10490793650794217,0.45246861471861877,1.0884166666666744,1.5265595238095244,0.7171212246789714,2013.0,BF,2011.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2013_BF_4,52,-0.22906249999999992,-1.539999999999992,-0.41257142857143947,-2.0749999999999886,-0.147777777777776,0.19716666666667493,0.7775000000000034,1.739285714285728,1.0570777542044842,2013.0,BF,2011.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_BF_0,471,0.01018267448522365,-1.213269841269825,-0.27670887445887177,-1.9646666666666874,0.009426838168215601,0.3419535233285392,1.1656904761904723,1.8672638888888926,1.1693927660463426,2014.0,BF,2011.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_BF_1,97,0.018704344624447023,-0.7708630952380844,-0.24677777777776555,-1.0190000000000055,0.0034126984126966625,0.19777777777778738,1.0718333333333305,1.1913333333333185,0.660235465299972,2014.0,BF,2011.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2011_analysis_2014_BF_2,226,-0.044564317319847044,-1.7898174603174652,-0.6556666666666615,-2.4507380952381084,0.007289358600583488,0.281840136054415,1.8692222222222104,2.5388333333333435,1.5310222473484063,2014.0,BF,2011.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
