system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2010_analysis_2021_MF_1,84,-0.06831861772486901,-0.7812539682539731,-0.26257043650794054,-1.5786666666666918,0.006735969387755907,0.2866432539682563,0.5880833333333442,0.7983333333333462,1.0756045709445845,2021.0,MF,2010.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2021_MF_2,1246,-0.015845649802311536,-3.0569740259740312,-0.6898269300144335,-4.820583333333335,0.013267621870882559,0.8163373015873001,3.090750000000006,4.575138888888887,2.657127435620925,2021.0,MF,2010.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2021_MF_3,45,-0.05122160493827247,-0.3851190476190425,-0.1966944444444323,-0.4105753968254078,-0.03394444444441547,0.02416666666668732,0.28892857142858475,0.41474999999999795,0.2623464398268044,2021.0,MF,2010.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2021_MF_4,40,-0.34292425595238,-1.8443749999999994,-0.32066666666666777,-5.262166666666673,-0.08566071428569444,0.26166666666667737,0.9025119047619086,1.5997321428571283,1.7152052398110953,2021.0,MF,2010.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_MF_0,1406,-0.0745535015107385,-2.051687499999998,-0.5724060846560843,-3.564305555555554,0.015101966405914007,0.44295251035196576,1.921508658008662,3.0555999999999868,1.905424197127463,2022.0,MF,2010.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_MF_1,84,0.06276136148903821,-0.5768154761904896,-0.16669841269840427,-0.7766111111111513,0.0025744047619061425,0.19705357142855462,0.6535833333333159,1.008416666666676,0.6139650914746368,2022.0,MF,2010.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_MF_2,1239,-0.0810810516382552,-2.315791666666675,-0.7032700396825448,-3.680600529100529,0.012836123758932833,0.5605962732919241,2.039979166666665,3.162664682539692,2.002496318733756,2022.0,MF,2010.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_MF_3,44,0.0036655598189735306,-0.39267857142857565,-0.1303968253968435,-0.45624999999998295,-0.029007936507930765,0.18422222222223894,0.44233333333332325,0.7362499999999841,0.3768195187643086,2022.0,MF,2010.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2022_MF_4,39,-0.25118049080549154,-1.0873611111111074,-0.4236904761904583,-2.416345238095232,-0.03499999999999659,0.23791666666664923,0.9248611111111131,1.5011666666666628,1.562936141951092,2022.0,MF,2010.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2023_MF_0,1411,-0.014780413863245537,-0.33610839160839573,-0.14803512396695206,-0.5408939393939486,0.0012096168294512034,0.11659304584304774,0.30472872960373165,0.44282575757576836,0.3060101790655824,2023.0,MF,2010.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
