system:index,LST_Night_count,LST_Night_mean,LST_Night_p10,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p90,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2006_analysis_2012_BF_2,307,-0.0012515381831343611,-1.2646666666666704,-0.5392500000000027,-2.1135317460317444,0.0035710317460318683,0.531630952380965,1.2644444444444503,2.1040952380952453,1.3031728035595675,2012.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2012_BF_3,85,-0.009089890501656542,-0.5864444444444104,-0.3018154761904839,-1.0216666666667038,-0.029305555555566798,0.1799999999999784,0.6890000000000214,0.9679999999999609,0.5665010137873194,2012.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2012_BF_4,26,0.14901739926740404,-1.5514285714285734,-0.997142857142876,-2.1299999999999955,0.0,1.0103333333333637,2.3466666666666924,2.6766666666666197,1.3675170828221772,2012.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2013_BF_0,477,-0.07970517393159003,-1.5579166666666708,-0.5363593073593108,-2.092152777777777,0.004875352733685329,0.3453809523809568,1.1642804232804356,1.8402916666666869,1.2430843273218866,2013.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2013_BF_1,55,-0.08084070575889189,-0.7733333333333121,-0.34272727272727366,-1.647500000000008,0.0,0.29785714285713993,0.5086666666666702,0.646666666666647,0.5939646988389826,2013.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2013_BF_2,309,-0.0936263992210595,-1.7792857142857201,-0.723668934240363,-2.376666666666722,0.0045701659451654305,0.5331845238095276,1.4635912698412454,2.090000000000032,1.437173454619973,2013.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2013_BF_3,87,-0.09006578925544642,-0.7199999999999704,-0.33131397306397997,-0.9821402116401998,-0.021510101010093763,0.19942460317461533,0.4148214285714005,0.5649999999999977,0.6384230903452348,2013.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2013_BF_4,25,0.12017718614718205,-1.1841666666666697,-0.36400000000003274,-2.3205714285714123,0.04233333333334599,0.49875000000000114,1.9850000000000136,3.2866666666666333,1.3099355153538514,2013.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2014_BF_0,475,0.04663181134654891,-1.0257357142857018,-0.2672718253968185,-1.7765714285714012,0.004432764620999559,0.46589484126984004,1.383749999999992,2.0290793650793453,1.1680130278528336,2014.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2014_BF_1,54,-0.04511614157447523,-0.985333333333358,-0.27499999999997726,-2.2605000000000075,0.0,0.34400000000005093,1.0021428571428714,1.896666666666647,1.0362726853879887,2014.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2014_BF_2,308,0.06021735092108686,-1.1521904761904693,-0.5362222222222215,-1.7185714285714084,0.002435028248588439,0.574370370370365,1.5908311688312153,2.1535714285714107,1.2750964460088057,2014.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2014_BF_3,87,0.08721247781592385,-0.3760000000000332,-0.2048095238095186,-0.5666071428571797,0.00507381507381629,0.19922222222220398,0.7626666666666893,1.1591818181818212,0.636761148695228,2014.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2014_BF_4,25,-0.13738857142857797,-2.055000000000007,-0.23166666666668334,-2.3350000000000364,0.0,0.4744444444444298,1.0682142857143049,2.067499999999967,1.4218739622918017,2014.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2015_BF_0,476,0.05673897058823318,-1.5426666666666762,-0.46522222222223164,-2.5431904761905173,0.004494283824639652,0.625065873015868,1.8616190476190297,2.8986666666666565,1.5912294343069815,2015.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2015_BF_1,55,-0.14765483405483337,-1.261785714285736,-0.3417857142856917,-2.3085714285713834,-0.027500000000031832,0.2885714285714016,0.8666666666666174,1.2721904761904739,0.8938150445390777,2015.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2015_BF_2,307,0.09046980507729477,-2.0220000000000056,-0.5902119047619067,-2.7733333333333405,0.0016522988505746799,0.9725238095238424,2.5250000000000057,3.1019047619047484,1.871846705530093,2015.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2015_BF_3,87,-0.032243933588765476,-0.6686666666666667,-0.32277777777777317,-0.8888888888889142,0.0013756613756596733,0.35428571428570876,0.6274999999999977,0.8413333333332957,0.5737207679051497,2015.0,BF,2006.0,SouthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2015_BF_4,26,0.2376829975579966,-1.0683333333333564,-0.09333333333330529,-1.209047619047567,0.13914285714282926,0.7222222222222285,1.2942857142857065,1.9025000000000318,1.2248100232468846,2015.0,BF,2006.0,EasternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2016_BF_0,470,-0.019707898130237975,-1.209713293650779,-0.340288156288162,-1.8186488095238147,0.0062792613129679445,0.34541183261183334,1.0125640589569238,1.5990555555555754,1.0986203337103484,2016.0,BF,2006.0,Europe,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2016_BF_1,55,-0.02452747605929217,-0.4000000000000057,-0.27428571428566784,-1.3313333333333333,0.0,0.3199999999999932,0.5316666666666947,1.0224999999999795,0.6063524319563949,2016.0,BF,2006.0,WesternEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2006_analysis_2016_BF_2,306,-0.007063608776843243,-1.5349444444444675,-0.45983333333332627,-1.8883333333333212,0.0018607503607506535,0.5410291005290778,1.3538571428571515,1.8700000000000045,1.1946089125593675,2016.0,BF,2006.0,NorthernEurope,Winter,"{""type"":""MultiPoint"",""coordinates"":[]}"
