system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2004_analysis_2021_TOT_4,120,-0.09622438202844605,-0.5509167267914297,-1.6462320261431014,-0.1358341770073208,0.42997891842632097,1.1667899659866006,0.896141960401457,2021.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2022_TOT_0,6048,0.08893837856120194,-0.4687547698468833,-1.3483884933993309,0.031020552790429017,0.5926930715460682,1.5899502946788768,0.9090888307584634,2022.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2022_TOT_1,435,-0.09020024407210818,-0.764600494743234,-1.8560346320340848,-0.07717150142884277,0.5446783523135069,1.6742738095236724,1.0735261000300973,2022.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2022_TOT_2,5103,0.10238821219826479,-0.40753150445848463,-1.2170305010553737,0.09395040803263004,0.5929001486620591,1.5295255116786264,0.8647035176236413,2022.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2022_TOT_3,413,0.1911288053494661,-0.47125309841839114,-1.601844919785897,0.031518032181457795,0.8456676232017072,2.2866570015633103,1.189699110740384,2022.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2022_TOT_4,120,-0.15437885814476282,-0.6768846801346058,-1.5401125541123921,-0.14002618016911228,0.43468835359069047,1.0911226995629235,0.8492709841706008,2022.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2023_TOT_0,6051,0.06157129025772241,-0.3427919799826317,-0.9680278302204929,0.03230051925527614,0.47051839952726915,1.0931140076717407,0.6645851270947797,2023.0,TOT,2004.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2023_TOT_1,435,-0.09815999056549264,-0.6548942894227617,-1.3962656880697455,-0.150625071654529,0.3437211724972233,1.2070510662179395,0.8731926619897604,2023.0,TOT,2004.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2023_TOT_2,5103,0.07372498674465015,-0.2961865781476476,-0.8911639243155391,0.07813112437115755,0.4207807576626357,1.0461280898872543,0.6031150912639692,2023.0,TOT,2004.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2023_TOT_3,416,0.13404570855143383,-0.4047253770194261,-1.4001785714285546,0.029340011935544717,0.6611205585264088,1.6510958468614234,1.010574289283895,2023.0,TOT,2004.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2023_TOT_4,120,-0.0841591121445353,-0.44477064694566193,-1.1849804292930335,-0.10505555555549743,0.260602904040395,1.2545268939392091,0.6651809352062074,2023.0,TOT,2004.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2005_analysis_2006_TOT_0,5294,0.24718936968622543,-0.2829584226738054,-1.0247348424006304,0.2204351733234853,0.7154453449548769,1.6544544476214715,0.8361179687208689,2006.0,TOT,2005.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2005_analysis_2006_TOT_1,217,0.21796085264140083,-0.3609006683372904,-1.291555555555675,0.1076809170239587,0.7755660714286201,1.853333333333584,0.9752667518924812,2006.0,TOT,2005.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2005_analysis_2006_TOT_2,4720,0.2446785305552666,-0.23266249202739897,-1.0135475165967154,0.233795023473116,0.7330733473116209,1.573071535377659,0.8039510883981638,2006.0,TOT,2005.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
