system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2016_analysis_2020_BF_1,82,0.19474253127236388,-0.41798593780944593,-0.9518196097883393,0.014234597728012647,0.38803774928772405,2.270496031746049,1.1333094228419174,2020.0,BF,2016.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2020_BF_2,339,0.035912029267660475,-0.6933590006826849,-3.6814014041509657,0.18936653909193507,0.9419012736083597,3.382499999999993,2.246504556110444,2020.0,BF,2016.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2020_BF_3,178,0.05653040050032709,-0.42560576563966845,-1.744367913832221,0.07865142353243708,0.6428588054457572,1.6499310776943474,0.938242465179248,2020.0,BF,2016.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2020_BF_4,71,0.2988915670324512,-0.32557575757569346,-1.1358333333335509,0.20853003747803145,0.7343055555556539,2.1092592592592396,1.001199462592957,2020.0,BF,2016.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2021_BF_0,672,0.12236537045292743,-0.6800631977371783,-3.3044226190479895,0.05356985523764388,0.9291702072319474,3.304028602552242,2.297729850191918,2021.0,BF,2016.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2021_BF_1,82,0.4465700720915189,-0.5041666666667126,-1.0921611721612194,0.08032469876845312,0.6575368165783301,2.166912698412787,2.0225874326917825,2021.0,BF,2016.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2021_BF_2,344,0.12175624403866953,-0.9112652116402948,-4.918333333333294,0.18537427472329604,1.5560560515871793,4.560666666668979,2.844469078182951,2021.0,BF,2016.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2021_BF_3,177,0.06287975939336776,-0.5438184101126895,-1.684375000000017,0.030147237576273307,0.6518770230313216,2.160739177489285,1.188198398012349,2021.0,BF,2016.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2021_BF_4,71,-0.05344897185894559,-0.8508333333332416,-2.53182539682561,0.15498466445837522,0.7013095238094493,2.7014285714287993,1.5591729314369005,2021.0,BF,2016.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2022_BF_0,668,0.06299684425300946,-0.8044210869980692,-2.5612698412688157,0.050363223447292126,0.9358961288110904,2.5651069444445227,1.6921818513152205,2022.0,BF,2016.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2022_BF_1,82,-0.21641078164648406,-0.8118236111112441,-1.7428703703704578,-0.04609902883721061,0.42734206458226354,1.3324677579364668,1.7867464199461254,2022.0,BF,2016.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2022_BF_2,340,0.1641328809497707,-0.9831337868480597,-3.430759882478583,0.2812533557271845,1.240110416666869,3.5353940596439846,1.966239506536431,2022.0,BF,2016.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2022_BF_3,178,0.07883543154588926,-0.6198285370713658,-1.5116719233147542,0.06465635352303938,0.71050558950847,1.9783930932704372,1.037390281606221,2022.0,BF,2016.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2022_BF_4,70,-0.08430244691973816,-0.7749354802727737,-1.7134583333339997,0.004004115226052521,0.8288955026454552,1.7690476190475266,1.387648008534916,2022.0,BF,2016.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2023_BF_0,673,0.13547974083748404,-0.3592680564044218,-1.076000000000164,0.04749970170928175,0.6084668070312892,1.3873570226066843,0.8226588524581906,2023.0,BF,2016.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2023_BF_1,82,0.15921648162772892,-0.5232844199571188,-0.976388888888831,-0.024070987654289056,0.6102828282828483,1.803477513227607,0.9813705535552916,2023.0,BF,2016.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2023_BF_2,345,0.16041545231226517,-0.23693193738078872,-0.8489015151515913,0.07388284468055624,0.5398181818181778,1.5210909090909652,0.7679672735241954,2023.0,BF,2016.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2023_BF_3,178,0.09219778991517165,-0.3994855045863683,-1.226241777944627,0.07895618686868033,0.6392095145692182,1.3625115285783334,0.8036264433663383,2023.0,BF,2016.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2016_analysis_2023_BF_4,70,0.11793300497221344,-0.4855000000004992,-1.1612344497607463,0.04696473092128883,0.6652580808082238,1.2418027296778362,0.9103077034925872,2023.0,BF,2016.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2018_BF_0,776,0.18324602829845774,-0.9272011436645984,-3.0743314211928525,0.19117467751504402,1.0568302413571444,3.311860670194356,2.1019382157814945,2018.0,BF,2017.0,Europe,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2018_BF_1,80,0.3156227107301031,-0.269738455988632,-1.5592558441557083,0.23830686274512303,0.842098800479472,2.4971916335977324,1.2801257112967062,2018.0,BF,2017.0,WesternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2018_BF_2,472,0.07721612121141834,-1.3044517234422286,-3.5394539565820997,0.06855197010955252,1.200034197089852,3.5386117216116943,2.3937585395265306,2018.0,BF,2017.0,NorthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2018_BF_3,157,0.4867817078451599,-0.41136772486791057,-1.890666666666604,0.4163291208790788,1.0936474478681195,3.024750000000065,1.7532946941300451,2018.0,BF,2017.0,SouthernEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2017_analysis_2018_BF_4,70,0.08024943885332413,-0.7773384353737249,-1.9335808080808867,0.06077245671003784,0.7696825396807974,1.906894841269768,1.1516667034194052,2018.0,BF,2017.0,EasternEurope,Spring,"{""type"":""MultiPoint"",""coordinates"":[]}"
