system:index,LST_Night_count,LST_Night_mean,LST_Night_p25,LST_Night_p5,LST_Night_p50,LST_Night_p75,LST_Night_p95,LST_Night_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2004_analysis_2011_BF_1,68,-0.1186350971060558,-0.5198084886127639,-1.3457954545455975,-0.11967829295482584,0.39556944444436803,0.7676471861472205,0.6559427934405029,2011.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2011_BF_2,252,0.04394016722855078,-0.45082592592584525,-1.2353830357144744,0.003505102040783573,0.5086029541446758,1.3659809523809372,0.8915134562412987,2011.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2011_BF_3,57,0.015146201193165787,-0.3776969696970127,-0.8084761904761866,-8.333333333894188E-4,0.39238888888870616,1.479202380952465,0.7105585662633905,2011.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2011_BF_4,72,-0.08860123785055582,-0.5774371693122131,-1.4575680272108507,-0.19460451388895472,0.4910594837261524,1.4145679012344434,0.8486426711081022,2011.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2012_BF_0,444,0.05131104235240544,-0.5909140591860207,-2.156643414090452,-0.026502101984514193,0.6590751522484635,2.265457671958128,1.4005376764596067,2012.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2012_BF_1,68,-0.01199198915620484,-0.5000906084657202,-1.1116199735448915,-0.05148941798976869,0.4685261518959267,1.4722563025212763,0.8851739405481776,2012.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2012_BF_2,252,0.11381223175144013,-0.7470789030889329,-2.5916666666663843,0.011654365079425386,0.9107424603175867,3.279761904761819,1.7110591026702686,2012.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2012_BF_3,57,0.06725438772502482,-0.3433015873016405,-1.534014202172095,0.015885714285639452,0.647788492063528,1.578787878787864,0.8392760266560836,2012.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2012_BF_4,72,-0.08458369750435699,-0.5909318181818721,-1.1293931623931064,-0.20317119408354634,0.27229310149986774,1.3637685185187016,0.7685587531442822,2012.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2013_BF_0,444,-0.0886317326865576,-0.7202082351879533,-1.7839870868220205,-0.0936241944083433,0.4643214070982535,1.7173204148629178,1.1294225384653145,2013.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2013_BF_1,68,-0.14048070720210967,-0.8404249639251029,-1.5330666666666835,-0.16126817042585184,0.43123115079356744,1.759999999999991,1.0141549506808512,2013.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2013_BF_2,252,-0.10622679964151868,-0.7211697248458134,-1.872968253968642,-0.09394915674612878,0.5295071909572641,1.9534719887954886,1.254759006837396,2013.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2013_BF_3,57,0.11481178656483122,-0.47190136054425835,-1.3210751879698925,0.11252525252513834,0.43938888888870764,1.759999999999991,1.009614253688791,2013.0,BF,2004.0,SouthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2013_BF_4,72,-0.07887492978397609,-0.6656903628117079,-1.7539029304030374,-0.007096257715943022,0.48477380952414495,1.3739317460319755,0.846562632954358,2013.0,BF,2004.0,EasternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2014_BF_0,443,0.010055623780675297,-0.5473772188750126,-1.7211258503400018,-0.034096965174935615,0.5305785084405674,1.862489197530909,1.063977290339652,2014.0,BF,2004.0,Europe,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2014_BF_1,68,-0.040373649423998806,-0.4205814536342283,-1.1383040338943105,-0.05859671284157031,0.2783443974772025,1.6265714285718689,0.8729593494512443,2014.0,BF,2004.0,WesternEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2004_analysis_2014_BF_2,251,-5.032945811641921E-4,-0.6630000000001273,-2.013480801209372,-0.03841765873007794,0.7975628306877905,1.9843214285714517,1.2214386497070717,2014.0,BF,2004.0,NorthernEurope,Autumn,"{""type"":""MultiPoint"",""coordinates"":[]}"
