system:index,LST_Daily_Mean_count,LST_Daily_Mean_mean,LST_Daily_Mean_p10,LST_Daily_Mean_p25,LST_Daily_Mean_p5,LST_Daily_Mean_p50,LST_Daily_Mean_p75,LST_Daily_Mean_p90,LST_Daily_Mean_p95,LST_Daily_Mean_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_220cells_loss_2010_analysis_2013_NF_1,308,0.0922912532092725,-0.67311607142857,-0.2071547619047627,-0.9784583333333501,0.0021564153439139013,0.3978267195767131,0.7925793650793859,1.3269343434343455,0.7324809992942523,2013.0,NF,2010.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2013_NF_2,6244,0.02084435632521787,-0.4813089947089948,-0.17172842575848987,-0.7016179052429022,0.003973104330981155,0.20129547878943085,0.5472871669501165,0.7983312324929966,0.4776700415260507,2013.0,NF,2010.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2013_NF_3,248,0.10351881065842689,-0.2865340909090861,-0.07553484848483834,-0.5806723484848497,0.07553362573099252,0.29924999999998647,0.6053472222222069,0.7766666666666424,0.5030065133661182,2013.0,NF,2010.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2013_NF_4,71,0.12728680161778647,-0.6157063492063534,-0.28674999999999784,-0.9235714285714351,0.005683333333331575,0.5381666666666689,1.1932023809523855,1.4521547619047581,0.7293817227993888,2013.0,NF,2010.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2014_NF_0,6813,0.03844892666045196,-0.8445817022263457,-0.28026045888213547,-1.283091687552215,0.0106684716431319,0.3428852445740197,0.904402811180589,1.3423426104676148,0.8186481257720896,2014.0,NF,2010.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2014_NF_1,300,0.10360611772486701,-0.6589722222222344,-0.23921726190474502,-1.2224999999999824,0.0015672043010741185,0.3970833333333396,1.042166666666681,1.4526785714285708,0.77850384357707,2014.0,NF,2010.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2014_NF_2,6197,0.02986635619548683,-0.9033922982338493,-0.28025096311439013,-1.2827773368606712,0.010436857954733467,0.3431755658746942,0.9052916516354025,1.404850108225105,0.8317532101296115,2014.0,NF,2010.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2014_NF_3,245,0.11294528594987545,-0.40310606060604925,-0.13224242424243945,-0.5093434343434259,0.0561424242424323,0.35012499999997715,0.6492954545454523,0.8721666666666579,0.44334116649056327,2014.0,NF,2010.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2014_NF_4,71,0.24273658618376975,-0.4068333333333243,-0.2268174603174534,-0.5500000000000043,0.06875000000000853,0.6066388888888762,0.9908333333333132,1.9483333333333377,0.7641130215370066,2014.0,NF,2010.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2015_NF_0,6790,0.005718476979982766,-0.5466042220450119,-0.20245193117068283,-0.8273436382458079,0.003992888620858436,0.23428771293955916,0.5778656092171751,0.8256631613756672,0.5149519525250891,2015.0,NF,2010.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_220cells_loss_2010_analysis_2015_NF_1,291,0.03627050264550302,-0.730444444444449,-0.3295206939525134,-1.1027500000000003,0.0014293611793603403,0.48521164021164354,0.8580208333333275,1.2442500000000223,0.7505432321987998,2015.0,NF,2010.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
