system:index,LST_Day_count,LST_Day_mean,LST_Day_p25,LST_Day_p5,LST_Day_p50,LST_Day_p75,LST_Day_p95,LST_Day_stdDev,analysisYear,forest,lossYear,region,season,.geo
LST_diff_5km_loss_2008_analysis_2013_BF_3,74,0.2589092783025695,-0.38705982905987923,-1.6108333333334244,0.22516179653675117,0.8015392156862795,1.5757119408368734,1.0781694263885813,2013.0,BF,2008.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2013_BF_4,20,4.1203627935146867E-4,-0.6842727272726723,-1.7368939393938785,0.012749999999860151,0.37884424603161904,2.552666666666447,1.1841058732138046,2013.0,BF,2008.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2014_BF_0,398,0.051636482459496966,-0.5327598072562293,-1.6539530910609965,0.09682578239662447,0.667067110088007,1.7352296494353556,1.0426430372923425,2014.0,BF,2008.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2014_BF_1,111,-0.034683803427344825,-0.6766666666666765,-2.1353171550673573,0.14835052910048438,0.5339236111111063,1.3936000000007525,1.0192789281525365,2014.0,BF,2008.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2014_BF_2,194,0.09347690214117242,-0.5445578924162054,-1.5985740740741328,0.04904550264553128,0.6703278061225042,1.8070000000000803,1.0552750019840753,2014.0,BF,2008.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2014_BF_3,74,0.1898187159109096,-0.3262457591790451,-1.0633333333334107,0.02129582531666685,0.7154693877550535,1.747125965537645,0.9091111722617555,2014.0,BF,2008.0,SouthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2014_BF_4,21,-0.3261439553962233,-0.8546666666666063,-2.0006666666666284,-0.25036666666676766,0.5771708683473129,0.8773333333336737,1.3344601276345351,2014.0,BF,2008.0,EasternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2015_BF_0,399,0.07198219528034142,-0.46726860772466433,-1.6860216450218246,0.02509267526455905,0.588044381310204,1.8543657731155943,1.0118991649968487,2015.0,BF,2008.0,Europe,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2015_BF_1,111,0.056836753537606616,-0.4584292929292815,-1.6860216450218246,-0.11359740876402924,0.6409777777783159,1.9518702191988435,1.0697844739055593,2015.0,BF,2008.0,WesternEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
LST_diff_5km_loss_2008_analysis_2015_BF_2,195,0.049363986684801756,-0.48446373081288785,-1.6986313131313804,0.0505349206349166,0.5096436177248451,1.475666666666374,0.9055235212654025,2015.0,BF,2008.0,NorthernEurope,Summer,"{""type"":""MultiPoint"",""coordinates"":[]}"
